Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,12,Female,17,Right-Handed,170,25,175,1,Rail (Train/Tram/Subway),60,0.41,37,Other,600,700,700,800,1000,1000,24,Right foot,70,75,Ring finger,July,Summer,No,No,No favorite,Water,Mathematics and statistics,7,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",70,100,7,4,14,3,3,0,20,4,4,30,0,2,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Relative,International aid
USA,OH,2020,12,Female,17,Left-Handed,152,274,idk,2,Walk,7 min,0.935,47,Other,888,1000,1000,572,1000,1000,274,Same length,5mm,5mm,Ring finger,August,Spring,Yes,No,Fruit,Water,Mathematics and statistics,07-May,11-Aug,7,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,25,5,20,15-Jul,48,0,0,24-48,24,24-48,15,24-Jul,24-Jul,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,Environment
USA,MD,2020,11,Male,16,Right-Handed,177,24,181,1,Bus,52,0.533,64,Walking/Hiking,700,600,700,700,999,1000,23,Right foot,88,86,Index finger,May,Fall,No,No,Breads/Sandwiches,Water,Mathematics and statistics,6,7,5,Yes - broadband connection,Internet chat or instant messaging,4,6,5,2,12,8,6,20,5,5,30,0,0,0,Some,Graduate degree,Pop,Freeze time,Healthy,Teacher,Environment
USA,OH,2020,7,Female,11,Right-Handed,170,24,163,2,Bus,10,0.382,48,Hockey (Ice),866,989,738,807,53,123,25,Left foot,90,80,Index finger,March,Fall,Yes,No,Pizza/Pasta,Milk,Science,9,10.5,4,Yes - other,Text messaging,30,45,10,1,6,18,6,4,0,4,20,2,2,19,Some,Graduate degree,Other,Invisibility,Happy,Relative,"Wildlife, animals"
USA,SC,2020,12,Female,17,Right-Handed,162.5,24,161.5,1,Car,35,0.254,44,None,930,647,793,830,570,800,24,Same length,8.58,7,Index finger,July,Spring,No,No,Seafood,Water,History,6,9,4,Yes - broadband connection,Text messaging,68,79,12,11,2,8,4,0,0,19,19,4,20,8,A lot,Undergraduate degree,Country,Telepathy,Happy,Musician or singer,International aid
USA,NY,2020,12,Male,18,Right-Handed,175,27,175,3,Rail (Train/Tram/Subway),25,0.358,30,Tennis,700,700,500,500,1000,1000,26,Left foot,98,103,Ring finger,October,Spring,No,No,No favorite,Water,Mathematics and statistics,6,10,6,Yes - other,Text messaging,400,999,2,1,7,5,0,9,4,5,9,3,10,3,Some,Graduate degree,Pop,Freeze time,Happy,Teacher,Education/Youth development
USA,OH,2020,8,Female,14,Left-Handed,154,24,172,2,Car,7,0.465,59,Other,100,1000,620,670,10,200,24,Same length,6.8,7,Ring finger,September,Summer,No,No,Salads,Water,Science,,8.5,3,Yes - other,Cell phone,28,22,35,6,25,9,7,1,0,1,40,7,0,3,A lot,Other,Country,Fly,Happy,Relative,"Wildlife, animals"
USA,NC,2020,11,Male,17,Ambidextrous,186,25.4,180,2,Bus,20,0.348,49,Martial Arts,9,72,913,604,722,989,25,Same length,8.59,9.12,Ring finger,May,Spring,No,No,Seafood,Water,Mathematics and statistics,7,8,5,Yes - broadband connection,Text messaging,5,7,3,0.5,1,6,10,0,0,5,2,0,25,2,Very little,Other,Country,Freeze time,Rich,Business person,Education/Youth development
USA,OH,2020,8,Male,14,Right-Handed,168,22,169,1,Bus,10,0.508,49,Athletics,800,950,900,700,500,800,24.5,Left foot,12,12,Same length,December,Fall,Yes,No,Fruit,Water,Music,7,6,4,Yes - other,Internet chat or instant messaging,10,30,5,0,5,7,1,8,8,6,10,5,2,0,Some,Graduate degree,Other,Invisibility,Famous,Actor,Environment
USA,OH,2020,8,Female,14,Right-Handed,170,24,165,1,Bus,25,0.318,36,Baseball/Softball,720,680,440,155,112,170,23,Right foot,70,71,Ring finger,September,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),Music,7,10,4,Yes - broadband connection,Text messaging,2,5,2,1,5,3,2,8,8,5,8,1,0,1,Some,Undergraduate degree,Other,Super strength,Happy,Relative,Health
